date	total_ridership	alert_count	affected_riders
2024-05-21	4096882	164	1489414
2024-05-22	4173180	157	2067389
2024-05-23	3936750	206	1888635
2024-05-24	3661679	192	1769791
2024-05-25	2396740	96	790595
2024-05-26	2059539	89	581104
2024-05-27	1707005	83	542686
2024-05-28	3889820	207	1936821
2024-05-29	4070885	159	1642643
2024-05-30	4050768	186	1891177
2024-05-31	3769188	154	1639194
2024-06-01	2501149	97	770577
2024-06-02	2012668	82	531189
2024-06-03	3674151	162	1476199
2024-06-04	4046737	137	1793214
2024-06-05	4120793	122	1404809
2024-06-06	3846196	178	1684991
2024-06-07	3837860	124	1506882
2024-06-08	2735413	126	1226673
2024-06-09	2128746	51	332666
2024-06-10	3171727	128	1113689
2024-06-11	4018482	168	2029129
2024-06-12	3957449	152	1645492
2024-06-13	4006548	145	1544823
2024-06-14	3592399	153	1667832
2024-06-15	2486004	61	627459
2024-06-16	1932412	85	662764
2024-06-17	3385079	128	1320736
2024-06-18	3989412	98	1468052
2024-06-19	3103012	99	913782
2024-06-20	3930499	136	1578637
2024-06-22	2439597	0	0
2024-06-23	1943205	78	592135
2024-06-24	3530559	148	1544190
2024-06-25	3901682	132	1588972
2024-06-26	3968675	144	1391232
2024-06-27	3850864	164	1791137
2024-06-28	3607036	152	1497775
2024-06-29	2512044	81	669192
2024-06-30	2041389	112	827725
2024-07-01	3336300	114	1139663
2024-07-02	3608951	132	1586658
2024-07-03	3480350	112	1311698
2024-07-04	2046806	69	365940
2024-07-05	2609465	152	933634
2024-07-06	2148887	105	814557
2024-07-07	1838234	101	702261
2024-07-08	3288185	132	1580782
2024-07-09	3669962	159	1738206
2024-07-10	3758675	132	1464790
2024-07-13	2260272	0	0
2024-07-14	1912722	96	542804
2024-07-15	3322667	111	1263729
2024-07-16	3661612	149	1713758
2024-07-17	3718826	123	1406582
2024-07-18	3659420	149	1613546
2024-07-19	3347555	93	1492031
2024-07-20	2323123	127	826159
2024-07-21	1910767	98	571334
2024-07-22	3294339	105	1073416
2024-07-23	3670989	159	1847727
2024-07-24	3722828	125	1323823
2024-07-25	3708096	125	1685801
2024-07-26	3367720	160	1680117
2024-07-27	2359637	109	877108
2024-07-28	1884467	69	589209
2024-07-29	3260775	126	1463230
2024-07-30	3654645	150	1885711
2024-07-31	3641611	105	1526695
2024-08-01	3613836	134	1343028
2024-08-02	3229608	171	1412820
2024-08-03	2251608	96	806638
2024-08-04	1786142	98	626906
2024-08-05	3283012	144	1330669
2024-08-06	3521981	144	1658066
2024-08-07	3576662	184	2021873
2024-08-08	3556607	113	1345910
2024-08-09	3114113	130	1191790
2024-08-10	2407730	69	443078
2024-08-11	1951235	63	547265
2024-08-12	3229162	131	1256162
2024-08-13	3557291	118	1578221
2024-08-14	3613497	164	1587847
2024-08-15	3568296	120	1415120
2024-08-16	3268229	93	1064789
2024-08-17	2305684	93	725045
2024-08-18	1743647	77	462886
2024-08-19	3134849	148	1407059
2024-08-20	3538761	142	1825505
2024-08-21	3562300	145	1643782
2024-08-22	3490381	104	1187645
2024-08-23	3284756	125	1097647
2024-08-24	2381509	111	824349
2024-08-25	1936792	74	652288
2024-08-26	3175771	159	1576698
2024-08-27	3543756	127	1427439
2024-08-28	3581586	134	1591317
2024-08-29	3510602	108	1175715
