date	total_ridership	alert_count	affected_riders
2022-08-15	2803958	83	828709
2022-08-16	3085757	104	979699
2022-08-17	3119667	112	1167902
2022-08-18	3121768	87	867664
2022-08-19	2973621	06	1144263
2022-08-20	2064451	115	729025
2022-08-21	1627667	91	570617
2022-08-22	2657723	109	1011147
2022-08-23	3031537	103	1048589
2022-08-24	3021831	120	903021
2022-08-25	3132384	79	951054
2022-08-26	2913419	94	1095290
2022-08-27	2100525	72	611881
2022-08-28	1664335	89	543586
2022-08-29	2870567	104	1159951
2022-08-30	3130029	118	1185967
2022-08-31	3185565	98	1011099
2022-09-01	3159820	06	1057583
2022-09-02	2977392	89	955474
2022-09-03	2149581	95	664349
2022-09-05	1718315	61	459606
2022-09-06	3100910	118	1241462
2022-09-07	3485234	118	1297451
2022-09-08	3687748	109	1407347
2022-09-09	3540218	06	1185177
2022-09-10	2389405	67	591835
2022-09-11	1745746	89	452318
2022-09-12	3414912	113	1434615
2022-09-13	3656554	151	1637733
2022-09-14	3782916	112	1428385
2022-09-15	3792482	136	1553648
2022-09-16	3563087	115	1300737
2022-09-17	2384616	70	573736
2022-09-18	1851656	70	436888
2022-09-19	3403350	112	1548070
2022-09-20	3805310	100	1088314
2022-09-21	3921570	107	1400508
2022-09-22	3775846	96	1327906
2022-09-23	3686789	107	1475603
2022-09-24	2425334	113	1003788
2022-09-25	1768465	105	647085
2022-09-26	2850226	105	878461
2022-09-27	3243675	101	1344641
2022-09-28	3756749	146	1709568
2022-09-29	3756221	117	1198381
2022-09-30	3562880	115	1398330
2022-10-01	2067198	70	541202
2022-10-02	1636233	66	360844
2022-10-03	3406662	93	1059801
2022-10-04	3439373	119	1112883
2022-10-05	3123070	129	858426
2022-10-06	3899158	98	1381366
2022-10-07	3651771	105	1677441
2022-10-08	2436848	61	585810
2022-10-09	1932898	69	564015
2022-10-10	2595497	91	828456
2022-10-11	3693732	97	1238356
2022-10-12	3822158	138	1859671
2022-10-13	3731446	113	1399549
2022-10-14	3643771	129	1711440
2022-10-15	2400805	103	717014
2022-10-16	1787139	67	514892
2022-10-17	3353174	102	1049629
2022-10-18	3736670	119	1529529
2022-10-19	3861438	190	1988145
2022-10-20	3859521	129	1413818
2022-10-21	3633973	123	1283417
2022-10-22	2469409	98	792919
2022-10-23	1761464	67	476141
2022-10-24	3394283	89	1028794
2022-10-25	3755491	104	1349122
2022-10-26	3840010	109	1339112
2022-10-27	3943679	121	1766708
2022-10-28	3692357	141	1642528
2022-10-29	2488378	71	680544
2022-10-30	1890838	45	374557
2022-10-31	3452888	107	1455620
2022-11-01	3750654	119	1205122
2022-11-02	3833990	113	1612364
2022-11-03	3851511	122	1309064
2022-11-04	3648216	86	1315794
2022-11-05	2485033	87	860240
2022-11-06	2127295	62	473519
2022-11-07	3494834	91	971162
2022-11-08	3473473	98	1423360
2022-11-09	3817184	110	1661563
2022-11-10	3852976	97	1416639
2022-11-11	3047826	88	1019813
2022-11-12	2472112	84	635308
2022-11-13	1809135	66	391189
2022-11-14	3438288	138	1259712
2022-11-15	3755430	104	1332017
2022-11-16	3795989	124	1521120
2022-11-17	3846885	139	1708576
2022-11-18	3598456	140	1649159
2022-11-19	2358035	83	671778
2022-11-20	1735367	108	622129
2022-11-21	3400579	163	1537634
2022-11-22	3591989	102	1293488
2022-11-23	3308380	88	1014196
2022-11-24	1481811	75	260033
2022-11-25	2210105	76	673925
2022-11-26	2028665	93	641242
2022-11-27	1491795	75	387917
2022-11-28	3302950	110	1521875
2022-11-29	3639123	146	1590771
2022-11-30	3610873	167	1609865
2022-12-01	3819243	115	1183744
2022-12-02	3664709	106	1168475
2022-12-03	2331850	115	814042
2022-12-04	2003212	101	715694
2022-12-05	3520675	152	1501878
2022-12-06	3798091	132	1624956
2022-12-07	3882030	158	1633426
2022-12-08	3984610	121	1721187
2022-12-09	3778210	121	1251205
2022-12-10	2706955	100	1093169
2022-12-11	1878386	119	792590
2022-12-12	3505860	139	1499804
2022-12-13	3808154	140	1586645
2022-12-14	3822900	123	1644358
2022-12-15	3776528	92	1399466
2022-12-16	3476790	98	1323032
2022-12-17	2644394	121	1041728
2022-12-18	1981525	103	583402
2022-12-19	3421646	157	1400897
2022-12-20	3634606	170	1989092
2022-12-21	3611659	129	1464634
2022-12-22	3235291	147	1316548
2022-12-23	2777885	190	1508146
2022-12-24	1428229	161	733153
2022-12-25	1021622	109	348538
2022-12-26	1840010	97	714011
2022-12-27	2772216	118	1042841
2022-12-28	2994609	162	1358137
2022-12-29	3090526	187	1447995
2022-12-30	3119268	149	1396273
2022-12-31	2004917	79	381302
2023-01-01	1690138	106	577307
2023-01-02	1966353	79	433225
2023-01-03	3217765	106	1179292
2023-01-04	3455448	119	1049360
2023-01-05	3472672	144	1524934
2023-01-06	3285029	138	1207061
2023-01-07	2148607	108	670419
2023-01-08	1624827	105	663487
2023-01-09	3183551	132	1213475
2023-01-10	3510416	123	1346967
2023-01-11	3552034	162	1529859
2023-01-12	3516929	160	1700000
2023-01-13	3325211	160	1471576
2023-01-14	2104348	102	638144
2023-01-15	1722805	140	659160
2023-01-16	2199259	130	990891
2023-01-17	3491243	126	1385472
2023-01-18	3647159	121	1315862
2023-01-19	3537624	135	1226807
2023-01-20	3433448	106	1527809
2023-01-21	2171231	95	675909
2023-01-22	1606493	79	343627
2023-01-23	3173615	99	885009
2023-01-24	3609333	151	1469890
2023-01-25	3552471	138	1396886
2023-01-26	3679580	97	913029
2023-01-27	3396571	108	1084460
2023-01-28	2288502	96	747870
2023-01-29	1639331	78	481738
2023-01-30	3263135	120	1175261
2023-01-31	3702941	109	1338628
2023-02-01	3731794	118	1152574
2023-02-02	3750045	134	1620411
